sample_barcode	sample_id
GTEX-RTLS-0008-SM-48FET	SRR1079924
GTEX-WXYG-2226-SM-4E3IM	SRR1079948
GTEX-XMK1-1826-SM-4B66F	SRR1079973
GTEX-V1D1-0326-SM-4JBIY	SRR1079998
GTEX-U8T8-1126-SM-4DXUE	SRR1080022
GTEX-Q2AH-0826-SM-48TZN	SRR1080044
GTEX-QDVJ-0826-SM-48U1S	SRR1080048
GTEX-XMD3-0008-SM-4AT4V	SRR1080072
GTEX-OHPK-1726-SM-48TC4	SRR1080093
GTEX-WFON-1726-SM-4LVMQ	SRR1080117
GTEX-S4Z8-0626-SM-4AD6J	SRR1080148
GTEX-QVJO-0011-R8A-SM-447C7	SRR1080172
GTEX-WH7G-0008-SM-4LVNM	SRR1080196
GTEX-PWOO-1326-SM-48TCJ	SRR1080222
GTEX-QV31-0526-SM-447C3	SRR1080246
GTEX-XUZC-1826-SM-4BRVO	SRR1080270
GTEX-S32W-1926-SM-4AD63	SRR1080294
GTEX-S4Q7-1026-SM-4AD75	SRR1080318
GTEX-S341-1026-SM-4AD71	SRR1080342
GTEX-XPVG-0526-SM-4B65N	SRR1080366
GTEX-XV7Q-1126-SM-4BRVS	SRR1080391
GTEX-SE5C-0626-SM-4IHLJ	SRR1080415
GTEX-XLM4-2026-SM-4AT4X	SRR1080438
GTEX-X8HC-0226-SM-4E3K1	SRR1080459
GTEX-XOT4-0426-SM-4B66T	SRR1080484
GTEX-OHPK-0008-SM-4E3JL	SRR1080509
GTEX-XUW1-0326-SM-4BOOR	SRR1080534
GTEX-U3ZN-0008-SM-4DXTL	SRR1080560
GTEX-TMMY-1926-SM-4DXUU	SRR1080580
GTEX-XXEK-0126-SM-4BRVU	SRR1080600
GTEX-Q2AI-0426-SM-48U13	SRR1080624
GTEX-T2YK-1326-SM-4DM6S	SRR1080648
GTEX-R55G-1126-SM-48FDG	SRR1080672
GTEX-UTHO-2726-SM-4JBH9	SRR1080696
GTEX-RWS6-0008-SM-47JYV	SRR1080720
GTEX-XUZC-2126-SM-4BRW8	SRR1080766
GTEX-XGQ4-2626-SM-4AT6B	SRR1080790
GTEX-Q2AH-1526-SM-48TZG	SRR1080811
GTEX-X4XX-0011-R8B-SM-46MWM	SRR1080835
GTEX-U3ZH-1526-SM-4DXV1	SRR1080859
GTEX-X4XY-1726-SM-46MVO	SRR1080879
GTEX-RTLS-1126-SM-46MUQ	SRR1080903
GTEX-X4XX-0011-R11A-SM-46MWQ	SRR1080927
GTEX-XUJ4-2026-SM-4BOOW	SRR1080951
