sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-1648	711722	RNA [665950]	Has DNA that shipped from the same extraction	Same Extraction
7316-1649	717181	RNA [665951]	Has DNA that shipped from the same extraction	Same Extraction
7316-1650	608926	RNA [600528]	Has DNA that shipped from the same extraction	Same Extraction
7316-1651	608927	RNA [600529]	Has DNA that shipped from the same extraction	Same Extraction
7316-1652	654184	RNA [649216]	Has DNA that shipped from the same extraction	Same Extraction
7316-1653	717103	RNA [649217]	Has DNA that shipped from the same extraction	Same Extraction
7316-1654	573145	RNA [570514]	Has DNA that shipped from the same extraction	Same Extraction
7316-1655	588454	RNA [585525]	Has DNA that shipped from the same extraction	Same Extraction
7316-1656	711676	RNA [591124]	Has DNA that shipped from the same extraction	Same Extraction
7316-1658	601589	RNA [591125]	Has DNA that shipped from the same extraction	Same Extraction
7316-1659	731889	RNA [730398]	Has DNA that shipped from the same extraction	Same Extraction
7316-166	573166	RNA [571289]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-1660	711653	RNA [655144]	Has DNA that shipped from the same extraction	Same Extraction
7316-1661	711709	RNA [606896]	Has DNA that shipped from the same extraction	Same Extraction
7316-1664	731890	RNA [730399]	Has DNA that shipped from the same extraction	Same Extraction
7316-1666	731858	RNA [728440]	Has DNA that shipped from the same extraction	Same Extraction
7316-1668	717160	RNA [645178]	Has DNA that shipped from the same extraction	Same Extraction
7316-1669	654209	RNA [612281]	Has DNA that shipped from the same extraction	Same Extraction
7316-167	734512	RNA [548880]	Has DNA that shipped from the same extraction	Same Extraction
7316-1670	654193	RNA [612333]	Has DNA that shipped from the same extraction	Same Extraction
7316-1671	654203	RNA [645179]	Has DNA that shipped from the same extraction	Same Extraction
7316-1674	717182	RNA [665952]	Has DNA that shipped from the same extraction	Same Extraction
7316-1675	717184	RNA [667950]	Has DNA that shipped from the same extraction	Same Extraction
7316-1676	711755	RNA [677367]	Has DNA that shipped from the same extraction	Same Extraction
7316-1678	711654	RNA [655145]	Has DNA that shipped from the same extraction	Same Extraction
7316-1679	654185	RNA [649218]	Has DNA that shipped from the same extraction	Same Extraction
7316-168	564463	RNA [559560]	Has DNA that shipped from the same extraction	Same Extraction
7316-1680	588455	RNA [585526]	Has DNA that shipped from the same extraction	Same Extraction
7316-1681	731875	RNA [728673]	Has DNA that shipped from the same extraction	Same Extraction
7316-1683	588456	RNA [586303]	Has DNA that shipped from the same extraction	Same Extraction
