Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_5VPM0F36	0.0169508596188441	0.0375789937559606	0	0.00484482941441034	0	0.166591921487226	0	0.0341944765114052	0	0	0.00633078443380605	0.107764761626539	0.254383874405689	0	0.00278903240202062	0.515568617081356	0	0.00646261379645558	0	0.469234541247845	0.0285828864565237	0.0187218077619193	9999	0.158193686710482	1.04885197235115	1.67
BS_685DACMS	0.0339150960020499	0	0.0850095910299099	0.0309646232894854	0	0.0357441286638861	0	0.00947338630723382	0.0215263439684621	0	0.00236546494291926	0.000355149195802754	0.0535647357859431	0.0230655439091529	0.0385432273880022	0.262831660632681	0.111917286485556	0	0.0207237623989162	0	0	0	9999	0.226882616775243	0.995656670835178	0.73
BS_68KX6A42	0.00514777608789822	0	0	0.0901790142377499	0	0.21508866196192	0	0.0190062926645879	0.00488710374028669	0	0	0.0384709089409119	0.0369374782895625	0	0.0181446195831762	0.612124100776866	0	0.00449515560508392	0.0749688103877797	0	0	0.0205500777241771	9999	0.205258493349343	1.0112946516579	1.14
BS_6M2053M0	0.0270965874374475	0	0.00379937844581126	0.00458938169221515	0	0.050580404526056	0	0.0480333520234235	0	0	0	0.0462424297638862	0.2509258222008	0	0.0113241413694063	0.280153363886737	0	0.0013323114059384	0	0.0845114469082738	0.00141138034000483	0	9999	0.162312842933198	1.03297878625758	0.81
BS_7WM3MNZ0	0.0143249973990943	0	0	0.036578772211139	0	0.0564687890784569	0	0.010225685394244	0.0013325540628376	0	0.0707387278010862	0	0.0255881642704679	0	0	0.311491569137646	0	0	0.0699301407167889	0	0.00106081573571258	0.00225978419252609	9999	0.042395723690875	1.07941122911012	0.6
BS_8ZY4GST0	0.00289076731596749	0.0122104077271336	0.00121414454256041	0.0257873622981989	0	0.0734262098477481	0	0.0161613997023835	0	0	0.0194101557415556	0.0138769609853727	0.141949775105281	0	0	0.18213084343863	0	0.0027704961979534	0	0.078793504827118	0.0023528579516335	0.00702511431846409	9999	0.108452706046488	1.04930079419394	0.58
BS_BMMY0H73	0.00139507492115035	0.0104088680151499	0	0.0383948694541959	0	0.238590784149831	0	0.0375316696597337	0.00224783597422213	0	0.0159489163485565	0.0541932224235966	0.111053428308811	0	0	0.227802318259362	0.00247390760154598	0	0.0456372113390908	0	0	0.0343218935447543	9999	0.0483242762861162	1.06834771514462	0.82
BS_BYCX6VK1	0.000960169802989787	0.0016491114078918	0	0.0443177993928863	0	0.0211705490210114	0	0.0150631919052737	0.0091379048860773	0	0.00491731434144345	0.0126896939259986	0.00615198838296436	0	0	0.327750468389148	0.00160053362102776	0	0.15130052017206	0	0.00111697662910677	0.0121737781221198	9999	0.0343750320019966	1.09332690595373	0.61
BS_C83TK159	0	0.0113201264493363	0	0.025538616911244	0	0.0193401493698418	0	0.0625201382977815	0	0	0	0.045483146797237	0.158811198727567	0	0	0.24921408165031	0	0	0	0.179612080472044	0.00816046132463886	0	9999	0.196634429233725	1.02487683130169	0.76
BS_EZ3147MX	0.00672528985748875	0	0	0.0568917013126431	0	0.200095265640862	0	0.00445291050804444	0	0	0.047857462850508	0.0572206030947615	0.0679027585930251	0	0	0.49313392490023	0	0.00490604277983512	0.128208194636955	0	0.00260584582564766	0	9999	0.0847425387277079	1.05729552836392	1.07
