"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"RBX1",-1.10072118606394,4.76178691272314,13.2453277482917,0.000774669342223585,0.014934569153424
"HNRNPA2B1",-1.56271094057799,5.07571516203224,13.2150303667932,0.000784111505915525,0.014934569153424
"SON",1.03538414886479,4.62460532314933,13.2065922549814,0.000786762850506717,0.014934569153424
"RPL37A",-1.2406981962191,4.73526387504377,13.1802202370475,0.000795110509019142,0.0149606319460181
"USP34",1.11461080577672,4.82029809710159,13.150874198979,0.000804509762857086,0.0150058560115517
"RPS27A",-1.4787504151535,4.96667593154825,12.9873423229286,0.000859084632515365,0.0158856597995298
"SEC61B",-1.15802123221501,4.79991745888521,12.8509233722593,0.00090760614422263,0.0166329268640715
"GTF2B",-0.96285644142728,4.73870965802998,12.8308017130524,0.000915004834480389,0.0166329268640715
"TMED1",-1.19465868477303,4.82837051678491,12.7740838446081,0.00093620531473169,0.0168752974798275
"GOLGB1",0.943847643787313,4.65491416514521,12.6525659279273,0.000983396321104138,0.0175782092397365
"UBC",-1.01547021332874,4.7723852980668,12.6125244018956,0.000999492340322692,0.0177182733057204
"CEBPZOS",-1.46247202377167,4.98646821107521,12.5831899095027,0.00101146110328739,0.0177834759553398
"PIN4",-1.57046314466957,5.07525738299181,12.5256342741453,0.00103538724406035,0.0180561434025159
"SSB",-1.19131289361655,4.85429872514658,12.4832605151616,0.00105338461134082,0.0182139260878324
"BCAP31",-1.18277266266167,4.87231744486726,12.4617149080781,0.00106266233780763,0.0182139260878324
"RPL24",-1.10942598644237,4.6436309113198,12.4268890602672,0.00107784196300155,0.0182139260878324
"NUDC",-1.10559218470312,4.79294773003891,12.4256180432565,0.00107840028585301,0.0182139260878324
"PRPF38B",-0.948013324230066,4.65777659965096,12.3868893244155,0.00109556033846825,0.0183408944350114
"RPS24",-2.14998223524999,5.39513202146277,12.3552828699946,0.00110977875148092,0.0183408944350114
"HSPE1",-1.58999951182578,5.09360411222291,12.3513328956021,0.00111156935969766,0.0183408944350114
"PSMD7",-1.18414380040243,4.88359219150824,12.272766399664,0.00114782785196895,0.0187945858204077
"RPL37",-1.21474265080197,4.73045240581566,12.2273701466535,0.00116934706424635,0.0190018897940032
"SUMO1",-0.980940116158777,4.61702155682349,12.1651245015388,0.00119955016950871,0.0193461286736556
"CREBBP",1.14669655811997,4.77605431145713,12.1425215049306,0.00121072114060388,0.0193805734820546
"PEX16",-1.11561343880328,4.83819648651962,12.0670777159334,0.00124881155476015,0.0198422280367446
"UFM1",-1.12290861389153,4.82060778351259,11.9836914437785,0.00129239262079626,0.0203836924382939
"GPATCH4",-1.39658114715557,4.97797957219893,11.9402741815169,0.00131571911921862,0.0204820002333413
"NDUFB3",-1.37953217689606,4.97598493583603,11.9347028581696,0.00131874450508128,0.0204820002333413
"PSMC5",-0.940718955045739,4.73195485194852,11.9190721501502,0.00132727180999275,0.0204820002333413
"NUP153",0.980349490925686,4.7303816801288,11.8913252449131,0.00134255322282459,0.0205698333068482
"RPL19",-1.27002205290018,4.91208020759786,11.7859162450461,0.00140232651985641,0.0213332651424964
"C16orf72",1.72053125251931,5.18447212308215,11.7038278869778,0.00145082564199763,0.0218964670513667
"CHCHD1",-1.69021791994746,5.14614615111651,11.6717829399634,0.00147023765894653,0.0218964670513667
"MTX2",-1.23322566535975,4.90328357717649,11.6630488900343,0.00147557609974536,0.0218964670513667
"HNRNPD",-0.989455250655838,4.75652435199648,11.6555422033959,0.00148018075638609,0.0218964670513667
"DYNLT3",-1.58430916873268,5.05423429755744,11.5776294625457,0.00152888187507823,0.0224619974112521
